anchor,sidekick,co_drafts,anchor_draft_seasons,sidekick_draft_seasons,p_anchor_given_sidekick,p_sidekick_given_anchor,asymmetry,chemistry_z,expected_co_drafts_season_random,same_season_drafts,pair_seasons,pair_team_names
Mimikyu,Zangoose,2,8,2,1.0,0.25,0.75,4.919349550499538,0.15267175572519084,2,S4; S5,Aggrons
Ting-Lu,Naclstack,2,7,2,1.0,0.2857142857142857,0.7142857142857143,4.92394628314809,0.15240855981711965,2,S15; S16,Oricorios; Zeraora
Noivern,Hoopa-U,2,7,2,1.0,0.2857142857142857,0.7142857142857143,4.919349550499538,0.15267175572519084,2,S3; S4,Chatots; Seadras
Annihilape,Vileplume,2,6,2,1.0,0.3333333333333333,0.6666666666666667,4.9222747822849415,0.1525041899266919,2,S18; S20,Oricorios; Poggers Patrol
Torkoal,Brute_Bonnet,2,6,2,1.0,0.3333333333333333,0.6666666666666667,4.92188764452199,0.15252635405307163,2,S13; S17,Gulp Missiles; Staraptors
Torkoal,Venusaur,2,6,2,1.0,0.3333333333333333,0.6666666666666667,4.92188764452199,0.15252635405307163,2,S3; S19,Metapods; Shaymins
Malamar,Zangoose,2,6,2,1.0,0.3333333333333333,0.6666666666666667,4.919349550499538,0.15267175572519084,2,S4; S5,Aggrons
Milotic,Ferroseed,2,6,2,1.0,0.3333333333333333,0.6666666666666667,4.919349550499538,0.15267175572519084,2,S2; S9,Dracos; Multiscalers
Archaludon,Alcremie,2,5,2,1.0,0.4,0.6,4.9255039612815885,0.1523195084485407,2,S16; S19,Charizards; Oricorios
Scream_Tail,Smeargle,2,5,2,1.0,0.4,0.6,4.924428900898052,0.1523809523809524,2,S14; S19,Gulp Missiles; Murkrows
Iron_Moth,Vigoroth,2,5,2,1.0,0.4,0.6,4.922209321083916,0.1525079365079365,2,S14; S20,Houston Zeraora; Oricorios
Gigalith,Garchomp-Mega,2,5,2,1.0,0.4,0.6,4.919349550499538,0.15267175572519084,2,S9; S10,Aggrons; Primarinas
Tapu_Koko,Raichu-Alola,4,16,5,0.8,0.25,0.55,6.957010852370435,0.3053435114503817,4,S5; S7; S9; S10,Crobats; Metapods; Primarinas; Shaymins
Tapu_Koko,Hariyama,2,16,3,0.6666666666666666,0.125,0.5416666666666666,3.8506555557938955,0.22900763358778625,3,S12; S13,Crobats; Dracos
Dragapult,Terapagos,3,14,4,0.75,0.21428571428571427,0.5357142857142857,5.078929576218307,0.30482744495647723,4,S16; S17; S19,Crobats; Staraptors; Zeraora
Dragapult,Hitmonchan,2,14,3,0.6666666666666666,0.14285714285714285,0.5238095238095237,4.92394628314809,0.15240855981711965,2,S15; S16,Crobats; Zeraora
Jolteon,Sliggoo-Hisui,2,14,3,0.6666666666666666,0.14285714285714285,0.5238095238095237,4.922872043058084,0.15247000374953132,2,S14; S15,Aggies; Murkrows
Cryogonal,Urshifu-Rapid-Strike,2,14,3,0.6666666666666666,0.14285714285714285,0.5238095238095237,3.8520938794384425,0.22886223191566704,3,S10; S14,Shaymins
Togekiss,Orbeetle,2,14,3,0.6666666666666666,0.14285714285714285,0.5238095238095237,3.8506555557938955,0.22900763358778625,3,S8; S13,Aggies; Primarinas
Rotom-Wash,Accelgor,3,13,4,0.75,0.23076923076923078,0.5192307692307692,6.024948132556827,0.22900763358778625,3,S5; S6; S12,Dracos; Lanturns; Multiscalers
Silvally,Vanilluxe,3,13,4,0.75,0.23076923076923078,0.5192307692307692,6.024948132556827,0.22900763358778625,3,S7; S8; S13,Lanturns; Ribombees; Zeraora
